,title,track_artist,album,labels,release_year,instruments,genre,format,countries_of_release,catalog_numbers,requires_manual_check,duration
262,Off The Wall	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, 517433",False,4:05
263,She's Out Of My Life	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, 517433",False,3:37
264,Sunset Driver (Demo)	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","US, China, Canada, UK & Ireland, Poland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, PRLP09-02, 517433",False,4:03
265,Lovely One,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,Producer,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD, CDr","Australia, US, China, Canada, UK & Ireland, Japan, Europe","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517743 3, AE4K 92600, 517433",False,4:50
266,This Place Hotel,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,Producer,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD, CDr","Australia, US, China, Canada, UK & Ireland, Japan, Europe","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517743 3, AE4K 92600, 517433",False,5:44
267,Wanna Be Startin' Somethin'	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517433",False,
268,The Girl Is Mine,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,Producer,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD","Australia, US, China, Canada, UK & Ireland, Japan, Europe","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517743 3, 517433",False,3:42
269,Thriller	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, 517433",False,
270, Beat It,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic","Box Set, CD, DVD, CDr","Japan, US, Canada","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600",False,
271,Billie Jean ,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic","Box Set, CD, DVD, CDr","Japan, US, Canada","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600",False,
272,P.Y.T. (Pretty Young Thing) (Demo)	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Epic",2004,Co-producer,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","US, China, Canada, UK & Ireland, Poland, Japan, Europe","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517743 3, AE4K 92600, PRLP09-02, 517433",False,3:46
273,Someone In The Dark,Michael Jackson,The Ultimate Collection,"Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,Producer,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD, CDr","Australia, US, China, Canada, Japan, Europe","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517743 3, AE4K 92600",False,4:54
274,State Of Shock,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,Producer,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD, CDr","Australia, US, China, Canada, UK & Ireland, Japan, Europe","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517743 3, AE4K 92600, 517433",False,4:30
275,Scared Of The Moon (Demo),Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Epic",2004,Producer,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD, CDr","US, China, Canada, UK & Ireland, Poland, Japan, Europe","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517743 3, AE4K 92600, PRLP09-02, 517433",False,4:41
276,We Are The World (Demo),Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,Producer,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD, CDr","Australia, US, China, Canada, UK & Ireland, Poland, Japan, Europe","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517743 3, AE4K 92600, PRLP09-02, 517433",False,5:20
277,"We Are Here To Change The World (From ""Captain EO"")	",Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, DVD, Box Set","US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517433",False,2:53
278,Bad ,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic","Box Set, CD, DVD, CDr","Japan, US, Canada","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600",False,
279,The Way You Make Me Feel ,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic","Box Set, CD, DVD, CDr","Japan, US, Canada","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600",False,
280, Man In The Mirror,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic","Box Set, CD, DVD, CDr","Japan, US, Canada","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600",False,
281,I Just Can't Stop Loving You ,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic","Box Set, CD, DVD, CDr","Japan, US, Canada","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600",False,
282,Dirty Diana ,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic","Box Set, CD, DVD, CDr","Japan, US, Canada","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600",False,
283,Smooth Criminal ,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic","Box Set, CD, DVD, CDr","Japan, US, Canada","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600",False,
284,Cheater (Demo)	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,Co-producer,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Poland, Japan, Europe","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517743 3, AE4K 92600, PRLP09-02, 517433",False,5:09
285,Dangerous (Early Version),Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Epic",2004,Producer,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD, CDr","US, China, Canada, UK & Ireland, Poland, Japan, Europe","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517743 3, AE4K 92600, PRLP09-02, 517433",False,6:40
286,Monkey Business	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","US, China, Canada, UK & Ireland, Poland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, PRLP09-02, 517433",False,5:45
