,title,track_artist,album,labels,release_year,instruments,genre,format,countries_of_release,catalog_numbers,requires_manual_check,duration
14,Do It All For Love,Greg Phillinganes,Significant Gains,"BMG, Planet (15), Sony Records Int'l","2016, 2001, 1981","Producer, Lead Vocals, Keyboards, Synthesizer, Synthesizer [Fairlight Computer Synthesizer], Main, Backing Vocals","Funk / Soul, Jazz","Vinyl, CD","Japan, US","P-17, 74321-88241-2, BVCM-37236, SICJ 142, P-11043Q",False,4:27
15,The Call,Greg Phillinganes,Significant Gains,"BMG, Planet (15), Sony Records Int'l","2016, 2001, 1981","Written-By, Producer, Lead Vocals, Keyboards, Synthesizer, Synthesizer [Fairlight Computer Synthesizer], Main, Written-By, Synthesizer [Fairlight]","Funk / Soul, Jazz","Vinyl, CD","Japan, US","P-17, 74321-88241-2, BVCM-37236, SICJ 142, P-11043Q",False,3:22
16,"Baby, I Do Love You",Greg Phillinganes,Significant Gains,"BMG, Planet (15)",2001,"Main, Producer, Vocals, Keyboards, Synthesizer","Funk / Soul, Jazz",CD,Japan,"BVCM-37236, 74321-88241-2",False,
17,Takin' It Up All Night,Greg Phillinganes,Significant Gains,"BMG, Planet (15)",2001,"Main, Producer, Vocals, Keyboards, Synthesizer","Funk / Soul, Jazz",CD,Japan,"BVCM-37236, 74321-88241-2",False,
18,I Don't Want To Be The One,Greg Phillinganes,Significant Gains,"BMG, Planet (15)",2001,"Main, Producer, Vocals, Keyboards, Synthesizer","Funk / Soul, Jazz",CD,Japan,"BVCM-37236, 74321-88241-2",False,
19,Behind The Mask,Greg Phillinganes,Pulse,"BMG, Planet (15), RCA, Arista, Big Break Records","1984, 1985, 2016, 1987, 1990, 2008, 2012","Keyboards, Lead Vocals, Backing Vocals, Main","Funk / Soul, Electronic, Jazz","Vinyl, CD","US, Germany, Portugal, Canada, UK, Japan, Australia & New Zealand, Europe","FL84698, ND 90554, BXL1-4698, 88697-37883-2, SICP 4857, PL84698, CDBBR 0127, BVCM-35429, PL 14698",False,4:50
20,Won't Be Long Now,Greg Phillinganes,Pulse,"BMG, Planet (15), RCA, Arista, Big Break Records","1984, 1985, 2016, 1987, 1990, 2008, 2012","Keyboards, Lead Vocals, Backing Vocals, Main, Arranged By","Funk / Soul, Electronic, Jazz","Vinyl, CD","US, Germany, Portugal, Canada, UK, Japan, Australia & New Zealand, Europe","FL84698, ND 90554, BXL1-4698, 88697-37883-2, SICP 4857, PL84698, CDBBR 0127, BVCM-35429, PL 14698",False,5:05
21,Playin' With Fire,Greg Phillinganes,Pulse,"BMG, Planet (15), RCA, Arista, Big Break Records","1984, 1985, 2016, 1987, 1990, 2008, 2012","Keyboards, Lead Vocals, Backing Vocals, Main","Funk / Soul, Electronic, Jazz","Vinyl, CD","US, Germany, Portugal, Canada, UK, Japan, Australia & New Zealand, Europe","FL84698, ND 90554, BXL1-4698, 88697-37883-2, SICP 4857, PL84698, CDBBR 0127, BVCM-35429, PL 14698",False,4:46
22,I Have Dreamed,Greg Phillinganes,Pulse,"BMG, Planet (15), RCA, Arista, Big Break Records","1984, 1985, 2016, 1987, 1990, 2008, 2012","Keyboards, Lead Vocals, Backing Vocals, Main, Arranged By","Funk / Soul, Electronic, Jazz","Vinyl, CD","US, Germany, Portugal, Canada, UK, Japan, Australia & New Zealand, Europe","FL84698, ND 90554, BXL1-4698, 88697-37883-2, SICP 4857, PL84698, CDBBR 0127, BVCM-35429, PL 14698",False,4:39
23,Come As You Are,Greg Phillinganes,Pulse,"BMG, Planet (15), RCA, Arista, Big Break Records","1984, 1985, 2016, 1987, 1990, 2008, 2012","Keyboards, Lead Vocals, Backing Vocals, Main, Backing Vocals","Funk / Soul, Electronic, Jazz","Vinyl, CD","US, Germany, Portugal, Canada, UK, Japan, Australia & New Zealand, Europe","FL84698, ND 90554, BXL1-4698, 88697-37883-2, SICP 4857, PL84698, CDBBR 0127, BVCM-35429, PL 14698",False,4:18
24,Lazy Nina,Greg Phillinganes,Pulse,"BMG, Planet (15), RCA, Arista, Big Break Records","1984, 1985, 2016, 1987, 1990, 2008, 2012","Main, Keyboards, Lead Vocals, Backing Vocals, Handclaps [Claps], Handclaps, Arranged By","Funk / Soul, Electronic, Jazz","Vinyl, CD","US, Germany, Portugal, Canada, UK, Japan, Australia & New Zealand, Europe","FL84698, ND 90554, BXL1-4698, 88697-37883-2, SICP 4857, PL84698, CDBBR 0127, BVCM-35429, PL 14698",False,5:25
25,Signals,Greg Phillinganes,Pulse,"BMG, Planet (15), RCA, Arista, Big Break Records","1984, 1985, 2016, 1987, 1990, 2008, 2012","Written-By, Keyboards, Lead Vocals, Backing Vocals, Main","Funk / Soul, Electronic, Jazz","Vinyl, CD","US, Germany, Portugal, Canada, UK, Japan, Australia & New Zealand, Europe","FL84698, ND 90554, BXL1-4698, 88697-37883-2, SICP 4857, PL84698, CDBBR 0127, BVCM-35429, PL 14698",False,5:00
26,Countdown To Love,Greg Phillinganes,Pulse,"BMG, Planet (15), RCA, Arista, Big Break Records","1984, 1985, 2016, 1987, 2008, 2012","Keyboards, Lead Vocals, Backing Vocals, Main, Keyboards [Additional], Synthesizer [Solo]","Funk / Soul, Electronic, Jazz","Vinyl, CD","Germany, Portugal, UK, Japan, Australia & New Zealand, Europe","FL84698, BXL1-4698, 88697-37883-2, SICP 4857, PL84698, CDBBR 0127, BVCM-35429, PL 14698",False,2:56
27,Shake It,Greg Phillinganes,Pulse,"BMG, Planet (15), RCA, Arista, Big Break Records","1984, 1985, 2016, 1987, 1990, 2008, 2012","Keyboards, Lead Vocals, Backing Vocals, Main, Arranged By","Funk / Soul, Electronic, Jazz","Vinyl, CD","US, Germany, Portugal, Canada, UK, Japan, Australia & New Zealand, Europe","FL84698, ND 90554, BXL1-4698, 88697-37883-2, SICP 4857, PL84698, CDBBR 0127, BVCM-35429, PL 14698",False,6:08
28,Contdown To Love,Greg Phillinganes,Pulse,"Planet (15), RCA","1984, 1990","Main, Keyboards [Additional], Synthesizer [Solo]",Funk / Soul,"Vinyl, CD","US, Canada, Germany","ND 90554, BXL1-4698",False,
29,Bonus Tracks,Greg Phillinganes,Pulse,Big Break Records,2012,"Lead Vocals, Backing Vocals, Main","Funk / Soul, Electronic, Jazz",CD,UK,CDBBR 0127,False,
30,Only You,Greg Phillinganes,Pulse,"Big Break Records, RCA","2016, 2012","Lead Vocals, Backing Vocals, Written-By, Main","Funk / Soul, Electronic, Jazz",CD,"UK, Japan","SICP 4857, CDBBR 0127",False,6:18
31,"Behind The Mask (12"" Version)",Greg Phillinganes,Pulse,Big Break Records,2012,"Lead Vocals, Backing Vocals, Main","Funk / Soul, Electronic, Jazz",CD,UK,CDBBR 0127,False,6:32
32,"Playin' With Fire (12"" Version)",Greg Phillinganes,Pulse,Big Break Records,2012,"Lead Vocals, Backing Vocals, Main, Remix","Funk / Soul, Electronic, Jazz",CD,UK,CDBBR 0127,False,6:39
33,Behind The Mask (Instrumental Version),Greg Phillinganes,Pulse,Big Break Records,2012,"Lead Vocals, Backing Vocals, Main","Funk / Soul, Electronic, Jazz",CD,UK,CDBBR 0127,False,5:17
34,Playin' With Fire (Instrumental Version),Greg Phillinganes,Pulse,Big Break Records,2012,"Lead Vocals, Backing Vocals, Main","Funk / Soul, Electronic, Jazz",CD,UK,CDBBR 0127,False,5:14
35,Behind The Mask (Single Version),Greg Phillinganes,Pulse,Big Break Records,2012,"Lead Vocals, Backing Vocals, Main","Funk / Soul, Electronic, Jazz",CD,UK,CDBBR 0127,False,4:01
36,"Behind The Mask (12"" Ver.)",Greg Phillinganes,Pulse,RCA,2016,Main,"Funk / Soul, Electronic, Jazz",CD,Japan,SICP 4857,False,
37,"Playin' With Fire (12"" Ver.)",Greg Phillinganes,Pulse,RCA,2016,Main,"Funk / Soul, Electronic, Jazz",CD,Japan,SICP 4857,False,
38,Behind The Mask (Instrumental Ver.),Greg Phillinganes,Pulse,RCA,2016,Main,"Funk / Soul, Electronic, Jazz",CD,Japan,SICP 4857,False,
39,Playin' With Fire (Instrumental Ver.),Greg Phillinganes,Pulse,RCA,2016,Main,"Funk / Soul, Electronic, Jazz",CD,Japan,SICP 4857,False,
40,Behind The Mask (Single Ver.),Greg Phillinganes,Pulse,RCA,2016,Main,"Funk / Soul, Electronic, Jazz",CD,Japan,SICP 4857,False,
41,Lazy Nina,Greg Phillinganes,Lazy Nina,Planet (15),1985,Main,"Funk / Soul, Electronic, Jazz",Vinyl,Europe,FL84698,False,5:25
42,Only You,Greg Phillinganes,Lazy Nina,Planet (15),1985,Main,"Funk / Soul, Electronic, Jazz",Vinyl,Europe,FL84698,False,6:16
43,Countdown To Love,Greg Phillinganes,Countdown To Love / Behind The Mask,Planet (15),1985,Main,"Funk / Soul, Electronic, Jazz",Vinyl,Europe,FL84698,False,2:56
44,Behind The Mask,Greg Phillinganes,Countdown To Love / Behind The Mask,Planet (15),1985,Main,"Funk / Soul, Electronic, Jazz",Vinyl,Europe,FL84698,False,4:50
45,Behind The Mask ,Greg Phillinganes,Behind The Mask,"Planet (15), RCA","0, 1985",Main,"Funk / Soul, Electronic",Vinyl,"US, Australia, Germany, Canada, UK, Ecuador","YW-14024, FC 4024, FB 3943, YB-13943, RPST 110, 104397, JD-14024, JH-13943, RPS 110, YB 13943, 123-1060",False,4:07
46,Only You,Greg Phillinganes,Behind The Mask,"Planet (15), RCA","0, 1985","Written-By, Main",Funk / Soul,Vinyl,"US, Australia, Germany, France, Canada, UK, Ecuador","YW-14024, FC 4024, FB 3943, PB 61598, YB-13943, RPST 110, 104397, RPS 110, YB 13943, 123-1060",False,6:16
47,Behind The Mask (Instrumental),Greg Phillinganes,Behind The Mask,Planet (15),1985,Main,Funk / Soul,Vinyl,"UK, US, Canada, Germany","RPST 110, JD-14024, YW-14024, FC 4024",False,4:40
48,"Behind The Mask (Edited Version Of 12"" Remix)",Greg Phillinganes,Behind The Mask,Planet (15),1985,Main,"Pop, Funk / Soul, Electronic",Vinyl,US,JH-13943,False,4:07
49,Playin' With Fire,Greg Phillinganes,Playin' With Fire,Planet (15),1985,"Main, Remix","Funk / Soul, Jazz",Vinyl,US,"JK-14132, YW-14133, JW-14133, YB-14132",False,5:54
50,Playin' With Fire (Instrumental),Greg Phillinganes,Playin' With Fire,Planet (15),1985,"Main, Remix","Funk / Soul, Jazz",Vinyl,US,"YW-14133, JW-14133",False,5:16
51,Only You,Greg Phillinganes,Playin' With Fire,Planet (15),1985,"Main, Remix","Funk / Soul, Jazz",Vinyl,US,"YW-14133, JW-14133, YB-14132",False,6:16
52,Love Fantasy,Greg Phillinganes,"Love Fantasy / Baby, I Do Love You",Planet (15),1985,Main,"Funk / Soul, Jazz",Vinyl,US,YW-14133,False,7:20
53,Love Attack,Greg Phillinganes,"Love Fantasy / Baby, I Do Love You",Planet (15),1985,Main,"Funk / Soul, Jazz",Vinyl,US,YW-14133,False,5:42
54,One Good Love Is Worth Two In The Bush,Greg Phillinganes,"Love Fantasy / Baby, I Do Love You",Planet (15),1985,Main,"Funk / Soul, Jazz",Vinyl,US,YW-14133,False,4:30
55,"Baby, I Do Love You",Greg Phillinganes,"Love Fantasy / Baby, I Do Love You",Planet (15),1985,"Written-By, Main","Funk / Soul, Jazz",Vinyl,US,YW-14133,False,4:15
56,Do It All For Love,Greg Phillinganes,"Love Fantasy / Baby, I Do Love You",Planet (15),1985,Main,"Funk / Soul, Jazz",Vinyl,US,YW-14133,False,4:26
57,Say Yes (Remix),Floetry,Say Yes (Remixes),"DreamWorks Records, Dreamworks Records","0, 2003",Remix,"Hip Hop, Funk / Soul","Vinyl, CD, CDr","UK, US","none, DRMR-14090-1, DRMR-14091-2",False,3:51
58,Say Yes (Remix Instrumental),Floetry,Say Yes (Remixes),"DreamWorks Records, Dreamworks Records","0, 2003",Remix,"Hip Hop, Funk / Soul","Vinyl, CD, CDr","UK, US","none, DRMR-14090-1, DRMR-14091-2",False,3:51
59,Say Yes (Remix Accapella),Floetry,Say Yes (Remixes),Dreamworks Records,2003,Remix,"Hip Hop, Funk / Soul","Vinyl, CD",US,"DRMR-14090-1, DRMR-14091-2",False,3:33
60,Heartbreak Hotel,The Jacksons,Heartbreak Hotel / Working Day & Night,"Epic, CBS/Sony",1980,Producer [Associate],Funk / Soul,Vinyl,Philippines,"9-50797, S-1343-E, 19-50959",False,4:49
61,Can You Feel It,The Jacksons,Triumph,"Harmony (4), CBS Inc., Rainbow (4), CBS, Legacy, Sony BMG Music Entertainment, Stop Stereo, Epic, IMD (2)","1984, 2016, 1986, 0, 1988, 2021, 1990, 1991, 1993, 1994, 2008, 2009, 2010, 1980, 1981, 1983","Keyboards, Producer [Associate], Keyboards",Funk / Soul,"Vinyl, 8-Track Cartridge, Cassette, CDr, File, CD",", Greece, Singapore, New Zealand, Egypt, India, UK, Europe, US, France, Venezuela, Spain, Mexico, South Africa, Costa Rica, Canada, Japan, Israel, Australia, Malaysia, Saudi Arabia, Ireland, South Korea, Brazil","CDEPC86112, 32・8P-181, 40 32366, ELPS 4063, 144424, 33197, FET 36424, 144.424, CBS 86112, RSV 051, 25・8P-5141, EPC 32366, XFET 36424, XFE 36424, none, CDEPC 86112, EPIC 10005, EPC 4063, LNS-17323, EPIC-184, CD 86112, EPC CD86112, 25-3P-239, EPC CD 86112, PE 36424, SICP-30973, 32366, 982 640 2, RSVLP 051, 40-86112, RCH 6092, 25.6P-77, EK 36424, EPC 86112, KSF 2561, EICP 1404, HE 46424, ESCA-5403, 148.111, 15886, FEA 36424, FE 36424, EICP-1203, IMD-7021, PET 36424, 40-32366, S EPC 86112, 25·3P-239, 86112, TC-25 3P-239, WPE36424, 88697 33558 2",False,5:58
62,Lovely One,The Jacksons,Triumph,"Harmony (4), CBS Inc., Rainbow (4), CBS, Legacy, Sony BMG Music Entertainment, Stop Stereo, Epic, IMD (2)","1984, 2016, 1986, 0, 1988, 2021, 1990, 1991, 1993, 1994, 2008, 2009, 2010, 1980, 1981, 1983","Keyboards, Producer [Associate], Keyboards",Funk / Soul,"Vinyl, 8-Track Cartridge, Cassette, CDr, File, CD",", Greece, Singapore, New Zealand, Egypt, India, UK, Europe, US, France, Venezuela, Spain, Mexico, South Africa, Costa Rica, Canada, Japan, Israel, Colombia, Australia, Malaysia, Saudi Arabia, Ireland, South Korea, Brazil","CDEPC86112, 32・8P-181, 40 32366, ELPS 4063, 19281, 144424, 33197, FET 36424, 144.424, CBS 86112, RSV 051, 25・8P-5141, EPC 32366, XFET 36424, XFE 36424, none, CDEPC 86112, EPIC 10005, EPC 4063, LNS-17323, EPIC-184, CD 86112, EPC CD86112, 25-3P-239, EPC CD 86112, PE 36424, SICP-30973, 32366, 982 640 2, RSVLP 051, 40-86112, RCH 6092, 25.6P-77, EK 36424, EPC 86112, KSF 2561, EICP 1404, HE 46424, ESCA-5403, 148.111, 15886, FEA 36424, FE 36424, EICP-1203, IMD-7021, PET 36424, 40-32366, S EPC 86112, 25·3P-239, 86112, TC-25 3P-239, WPE36424, 88697 33558 2",False,4:51
63,Your Ways,The Jacksons,Triumph,"Harmony (4), CBS Inc., Rainbow (4), CBS, Legacy, Sony BMG Music Entertainment, Stop Stereo, Epic, IMD (2)","1984, 2016, 1986, 0, 1988, 2021, 1990, 1991, 1993, 1994, 2008, 2009, 2010, 1980, 1981, 1983","Keyboards, Producer [Associate], Keyboards",Funk / Soul,"Vinyl, 8-Track Cartridge, Cassette, CDr, File, CD",", Greece, Singapore, New Zealand, Egypt, India, UK, Europe, US, France, Venezuela, Spain, Mexico, South Africa, Costa Rica, Canada, Japan, Israel, Colombia, Australia, Malaysia, Saudi Arabia, Ireland, South Korea, Brazil","CDEPC86112, 32・8P-181, 40 32366, ELPS 4063, 19281, 144424, 33197, FET 36424, 144.424, CBS 86112, RSV 051, 25・8P-5141, EPC 32366, XFET 36424, XFE 36424, none, CDEPC 86112, EPIC 10005, EPC 4063, LNS-17323, EPIC-184, CD 86112, EPC CD86112, 25-3P-239, EPC CD 86112, SICP-30973, 32366, 982 640 2, RSVLP 051, 40-86112, RCH 6092, 25.6P-77, EK 36424, EPC 86112, KSF 2561, EICP 1404, HE 46424, ESCA-5403, 148.111, 15886, FEA 36424, FE 36424, EICP-1203, IMD-7021, PET 36424, 40-32366, S EPC 86112, 25·3P-239, 86112, TC-25 3P-239, WPE36424, 88697 33558 2",False,4:32
64,Everybody,The Jacksons,Triumph,"Harmony (4), CBS Inc., Rainbow (4), CBS, Legacy, Sony BMG Music Entertainment, Stop Stereo, Epic, IMD (2)","1984, 2016, 1986, 0, 1988, 2021, 1990, 1991, 1993, 1994, 2008, 2009, 2010, 1980, 1981, 1983","Keyboards, Producer [Associate], Keyboards",Funk / Soul,"Vinyl, 8-Track Cartridge, Cassette, CDr, File, CD",", Greece, Singapore, New Zealand, Egypt, India, UK, Europe, US, France, Venezuela, Spain, Mexico, South Africa, Costa Rica, Canada, Japan, Israel, Colombia, Australia, Malaysia, Saudi Arabia, Ireland, South Korea, Brazil","CDEPC86112, 32・8P-181, 40 32366, ELPS 4063, 19281, 144424, 33197, FET 36424, 144.424, CBS 86112, RSV 051, 25・8P-5141, EPC 32366, XFET 36424, XFE 36424, none, CDEPC 86112, EPIC 10005, EPC 4063, LNS-17323, EPIC-184, CD 86112, EPC CD86112, 25-3P-239, EPC CD 86112, PE 36424, SICP-30973, 32366, 982 640 2, RSVLP 051, 40-86112, RCH 6092, 25.6P-77, EK 36424, EPC 86112, KSF 2561, EICP 1404, HE 46424, ESCA-5403, 148.111, 15886, FEA 36424, FE 36424, EICP-1203, IMD-7021, PET 36424, 40-32366, S EPC 86112, 25·3P-239, 86112, TC-25 3P-239, WPE36424, 88697 33558 2",False,5:01
65,Heartbreak Hotel,The Jacksons,Triumph,"Harmony (4), CBS Inc., Rainbow (4), CBS, Legacy, Stop Stereo, Epic, IMD (2)","0, 1986, 1988, 2008, 1980, 1981, 1983","Producer [Associate], Keyboards",Funk / Soul,"Vinyl, 8-Track Cartridge, CD, Cassette","Greece, Singapore, New Zealand, Egypt, India, UK, Europe, US, France, Venezuela, Spain, Mexico, South Africa, Costa Rica, Canada, Japan, Israel, Colombia, Australia, Malaysia, Saudi Arabia, Ireland, South Korea, Brazil","40 32366, ELPS 4063, 19281, 144424, 33197, FET 36424, 144.424, CBS 86112, RSV 051, EPC 32366, XFET 36424, XFE 36424, none, EPIC 10005, EPC 4063, LNS-17323, EPIC-184, 25-3P-239, 32366, RSVLP 051, 40-86112, RCH 6092, 25.6P-77, EPC 86112, KSF 2561, HE 46424, 148.111, 15886, FEA 36424, FE 36424, IMD-7021, 40-32366, S EPC 86112, 25·3P-239, 86112, TC-25 3P-239, WPE36424, 88697 33558 2",False,5:44
66,Time Waits For No One,The Jacksons,Triumph,"Harmony (4), CBS Inc., Rainbow (4), CBS, Legacy, Sony BMG Music Entertainment, Stop Stereo, Epic, IMD (2)","1984, 2016, 1986, 0, 1988, 2021, 1990, 1991, 1993, 1994, 2008, 2009, 2010, 1980, 1981, 1983","Keyboards, Producer [Associate], Keyboards",Funk / Soul,"Vinyl, 8-Track Cartridge, Cassette, CDr, File, CD",", Greece, Singapore, New Zealand, Egypt, India, UK, Europe, US, France, Venezuela, Spain, Mexico, South Africa, Costa Rica, Canada, Japan, Israel, Colombia, Australia, Malaysia, Saudi Arabia, Ireland, South Korea, Brazil","CDEPC86112, 32・8P-181, 40 32366, ELPS 4063, 19281, 144424, 33197, FET 36424, 144.424, CBS 86112, RSV 051, 25・8P-5141, EPC 32366, XFET 36424, XFE 36424, none, CDEPC 86112, EPIC 10005, EPC 4063, LNS-17323, EPIC-184, CD 86112, EPC CD86112, 25-3P-239, EPC CD 86112, PE 36424, SICP-30973, 32366, 982 640 2, RSVLP 051, 40-86112, RCH 6092, 25.6P-77, EK 36424, EPC 86112, KSF 2561, EICP 1404, HE 46424, ESCA-5403, 148.111, 15886, FEA 36424, FE 36424, EICP-1203, IMD-7021, PET 36424, 40-32366, S EPC 86112, 25·3P-239, 86112, TC-25 3P-239, WPE36424, 88697 33558 2",False,3:23
67,Walk Right Now,The Jacksons,Triumph,"Harmony (4), CBS Inc., Rainbow (4), CBS, Legacy, Sony BMG Music Entertainment, Stop Stereo, Epic, IMD (2)","1984, 2016, 1986, 0, 1988, 2021, 1990, 1991, 1993, 1994, 2008, 2009, 2010, 1980, 1981, 1983","Producer [Associate], Keyboards, Synthesizer",Funk / Soul,"Vinyl, 8-Track Cartridge, Cassette, CDr, File, CD",", Greece, Singapore, New Zealand, Egypt, India, UK, Europe, US, France, Venezuela, Spain, Mexico, South Africa, Costa Rica, Canada, Japan, Israel, Colombia, Australia, Malaysia, Saudi Arabia, Ireland, South Korea, Brazil","CDEPC86112, 32・8P-181, 40 32366, ELPS 4063, 19281, 144424, 33197, FET 36424, 144.424, CBS 86112, RSV 051, 25・8P-5141, EPC 32366, XFET 36424, XFE 36424, none, CDEPC 86112, EPIC 10005, EPC 4063, LNS-17323, EPIC-184, CD 86112, EPC CD86112, 25-3P-239, EPC CD 86112, PE 36424, SICP-30973, 32366, 982 640 2, RSVLP 051, 40-86112, RCH 6092, 25.6P-77, EK 36424, EPC 86112, KSF 2561, EICP 1404, HE 46424, ESCA-5403, 148.111, 15886, FEA 36424, FE 36424, EICP-1203, IMD-7021, PET 36424, 40-32366, S EPC 86112, 25·3P-239, 86112, TC-25 3P-239, WPE36424, 88697 33558 2",False,6:28
68,Give It Up,The Jacksons,Triumph,"Harmony (4), CBS Inc., Rainbow (4), CBS, Legacy, Sony BMG Music Entertainment, Stop Stereo, Epic, IMD (2)","1984, 2016, 1986, 0, 1988, 2021, 1990, 1991, 1993, 1994, 2008, 2009, 2010, 1980, 1981, 1983","Keyboards, Producer [Associate], Keyboards",Funk / Soul,"Vinyl, 8-Track Cartridge, Cassette, CDr, File, CD",", Greece, Singapore, New Zealand, Egypt, India, UK, Europe, US, France, Venezuela, Spain, Mexico, South Africa, Costa Rica, Canada, Japan, Israel, Colombia, Australia, Malaysia, Saudi Arabia, Ireland, South Korea, Brazil","CDEPC86112, 32・8P-181, 40 32366, ELPS 4063, 19281, 144424, 33197, FET 36424, 144.424, CBS 86112, RSV 051, 25・8P-5141, EPC 32366, XFET 36424, XFE 36424, none, CDEPC 86112, EPIC 10005, EPC 4063, LNS-17323, EPIC-184, CD 86112, EPC CD86112, 25-3P-239, EPC CD 86112, PE 36424, SICP-30973, 32366, 982 640 2, RSVLP 051, 40-86112, RCH 6092, 25.6P-77, EK 36424, EPC 86112, KSF 2561, EICP 1404, HE 46424, ESCA-5403, 148.111, 15886, FEA 36424, FE 36424, EICP-1203, IMD-7021, PET 36424, 40-32366, S EPC 86112, 25·3P-239, 86112, TC-25 3P-239, WPE36424, 88697 33558 2",False,4:20
69,Wondering Who,The Jacksons,Triumph,"Harmony (4), CBS Inc., Rainbow (4), CBS, Legacy, Sony BMG Music Entertainment, Stop Stereo, Epic, IMD (2)","1984, 2016, 1986, 0, 1988, 2021, 1990, 1991, 1993, 1994, 2008, 2009, 2010, 1980, 1981, 1983","Keyboards, Producer [Associate], Keyboards",Funk / Soul,"Vinyl, 8-Track Cartridge, Cassette, CDr, File, CD",", Greece, Singapore, New Zealand, Egypt, India, UK, Europe, US, France, Venezuela, Spain, Mexico, South Africa, Costa Rica, Canada, Japan, Israel, Colombia, Australia, Malaysia, Saudi Arabia, Ireland, South Korea, Brazil","CDEPC86112, 32・8P-181, 40 32366, ELPS 4063, 19281, 144424, 33197, FET 36424, 144.424, CBS 86112, RSV 051, 25・8P-5141, EPC 32366, XFET 36424, XFE 36424, none, CDEPC 86112, EPIC 10005, EPC 4063, LNS-17323, EPIC-184, CD 86112, EPC CD86112, 25-3P-239, EPC CD 86112, PE 36424, SICP-30973, 32366, 982 640 2, RSVLP 051, 40-86112, RCH 6092, 25.6P-77, EK 36424, EPC 86112, KSF 2561, EICP 1404, HE 46424, ESCA-5403, 148.111, 15886, FEA 36424, FE 36424, EICP-1203, IMD-7021, PET 36424, 40-32366, S EPC 86112, 25·3P-239, 86112, TC-25 3P-239, WPE36424, 88697 33558 2",False,4:19
70,You Can Feel It,The Jacksons,Triumph,Epic,1980,,Funk / Soul,Vinyl,Colombia,19281,False,
71,Program 1,The Jacksons,Triumph,Epic,"0, 1980",,"Funk / Soul, Electronic",Cassette,"Japan, Europe","40-32366, 25.6P-77",False,
72,Program 2,The Jacksons,Triumph,Epic,"0, 1980",,"Funk / Soul, Electronic",Cassette,"Japan, Europe","40-32366, 25.6P-77",False,
73,Puedes Sentirlo (Can You Feel It),The Jacksons,Triumph,Epic,1980,,Pop,Vinyl,Argentina,47241,False,
74,Amorosa (Lovely One),The Jacksons,Triumph,Epic,1980,,Pop,Vinyl,Argentina,47241,False,
75,Tus Modos (Your Ways),The Jacksons,Triumph,Epic,1980,,Pop,Vinyl,Argentina,47241,False,
76,Todos (Everybody),The Jacksons,Triumph,Epic,1980,,Pop,Vinyl,Argentina,47241,False,
77,Hotel De Los Corazones Destrozados (Heartbreak Hotel),The Jacksons,Triumph,Epic,1980,,Pop,Vinyl,Argentina,47241,False,
78,El Tiempo No Espera Por Nadie (Time Waits For No One),The Jacksons,Triumph,Epic,1980,,Pop,Vinyl,Argentina,47241,False,
79,Camina Ahora (Walk Right Now),The Jacksons,Triumph,Epic,1980,,Pop,Vinyl,Argentina,47241,False,
80,Abandonado (Give It Up),The Jacksons,Triumph,Epic,1980,,Pop,Vinyl,Argentina,47241,False,
81,Adivinando Quien (Wondering Who),The Jacksons,Triumph,Epic,1980,,Pop,Vinyl,Argentina,47241,False,
82,Your Way's,The Jacksons,Triumph,Epic,1981,Co-producer,"Funk / Soul, Electronic",Vinyl,US,PE 36424,False,4:32
83,This Place Hotel,The Jacksons,Triumph,"CBS Inc., Epic","1984, 0, 1986, 1988, 1990, 1991, 1993, 1994, 1981","Keyboards, Co-producer","Funk / Soul, Electronic","Vinyl, CD, Cassette","US, Australia, France, Canada, UK, Japan, Europe","EPC CD 86112, PE 36424, CDEPC86112, 32・8P-181, ESCA-5403, EPC 32366, CDEPC 86112, PET 36424, CD 86112, 982 640 2, 25・8P-5141, EPC CD86112, EK 36424",False,5:44
84,Bonus Tracks,The Jacksons,Triumph,"Epic, Legacy","2008, 2010, 2016",Co-producer [Associate Producer],"Funk / Soul, Electronic","CD, CDr","Australia, US, Japan","none, SICP-30973, EICP 1404, 88697 33558 2",False,
85,This Place Hotel (AKA Heartbreak Hotel) (Single Version),The Jacksons,Triumph,"Epic, Legacy",2008,"Producer [Associate], Keyboards","Funk / Soul, Pop",CD,Australia,88697 33558 2,False,4:52
86,Walk Right Now (John Luongo Disco Mix),The Jacksons,Triumph,"Sony BMG Music Entertainment, Epic, Legacy","2008, 2009, 2010, 2016",Co-producer [Associate Producer],"Funk / Soul, Electronic",CD,"Australia, US, Japan, Europe","EICP 1404, SICP-30973, EICP-1203, 88697 33558 2",False,7:37
87,Walk Right Now (John Luongo Instrumental Mix),The Jacksons,Triumph,"Sony BMG Music Entertainment, Epic, Legacy","2008, 2009, 2010, 2016",Co-producer [Associate Producer],"Funk / Soul, Electronic","CD, CDr","Australia, US, Japan, Europe","EICP 1404, none, SICP-30973, EICP-1203, 88697 33558 2",False,6:58
88,This Place Hotel (A/K/A Heartbreak Hotel),The Jacksons,Triumph,"Sony BMG Music Entertainment, Epic, Legacy","2016, 2021, 2008, 2009, 2010","Keyboards, Co-producer [Associate Producer]","Funk / Soul, Electronic","CD, File, CDr","Japan, US, , Europe","EICP 1404, none, SICP-30973, EICP-1203, 88697 33558 2",False,5:44
